State;"Population
(total inhabitants) 
(2015) [2]";"Murders and
Nonnegligent
Manslaughter
(total deaths) 
(2015) [1]";"Murders
(total deaths) 
(2015) [3]";"Gun Murders
(total deaths) 
(2015) [3]";"Gun
Ownership
(%) 
(2013) [4]";"Murder and
Nonnegligent
Manslaughter
Rate
(per 100,000) 
(2015)";"Murder Rate
(per 100,000) 
(2015)";"Gun
Murder Rate
(per 100,000) 
(2015)"
Alabama;4,853,875;348;—[a];—[a];48.9;7.2;— [a];— [a]
Alaska;737,709;59;57;39;61.7;8.0;7.7;5.3
Arizona;6,817,565;306;278;171;32.3;4.5;4.1;2.5
Arkansas;2,977,853;181;164;110;57.9;6.1;5.5;3.7
California;38,993,940;1,861;1,861;1,275;20.1;4.8;4.8;3.3
Colorado;5,448,819;176;176;115;34.3;3.2;3.2;2.1
Connecticut;3,584,730;117;107;73;16.6;3.3;3.0;2.0
Delaware;944,076;63;63;52;5.2;6.7;6.7;5.5
District of Columbia;670,377;162;162;121;25.9;24.2;24.2;18.0
Florida;20,244,914;1,041;— [b];— [b];32.5;5.1;— [b];— [b]
Georgia;10,199,398;615;565;464;31.6;6.0;5.5;4.5
Hawaii;1,425,157;19;19;4;45.1;1.3;1.3;0.3
Idaho;1,652,828;32;30;24;56.9;1.9;1.8;1.5
Illinois;12,859,995[5];744;497;440;26.2;5.8;3.9;3.4
Indiana;6,612,768;373;272;209;33.8;5.6;4.1;3.2
Iowa;3,121,997;72;72;49;33.8;2.3;2.3;1.6
Kansas;2,906,721;128;125;91;32.2;4.4;4.3;3.1
Kentucky;4,424,611;209;209;141;42.4;4.7;4.7;3.2
Louisiana;4,668,960;481;474;379;44.5;10.3;10.2;8.1
Maine;1,329,453;23;23;16;22.6;1.7;1.7;1.2
Maryland;5,994,983;516;372;279;20.7;8.6;6.2;4.7
Massachusetts;6,784,240;128;126;81;22.6;1.9;1.9;1.2
Michigan;9,917,715;571;571;389;28.8;5.8;5.8;3.9
Minnesota;5,482,435;133;133;79;36.7;2.4;2.4;1.4
Mississippi;2,989,390;259;159;126;42.8;8.7;5.3;4.2
Missouri;6,076,204;502;499;418;27.1;8.3;8.2;6.9
Montana;1,032,073;36;36;18;52.3;3.5;3.5;1.7
Nebraska;1,893,765;62;61;43;19.8;3.3;3.2;2.3
Nevada;2,883,758;178;177;113;37.5;6.2;6.1;3.9
New Hampshire;1,330,111;14;14;8;14.4;1.1;1.1;0.6
New Jersey;8,935,421;363;353;255;11.3;4.1;4.0;2.9
New Mexico;2,080,328;117;94;56;49.9;5.6;4.5;2.7
New York;19,747,183;609;611;383;10.3;3.1;3.1;1.9
North Carolina;10,035,186;517;506;353;28.7;5.2;5.0;3.5
North Dakota;756,835;21;17;9;47.9;2.8;2.2;1.2
Ohio;11,605,090;500;480;316;19.6;4.3;4.1;2.7
Oklahoma;3,907,414;234;233;149;31.2;6.0;6.0;3.8
Oregon;4,024,634;99;71;34;26.6;2.5;1.8;0.8
Pennsylvania;12,791,904;658;651;497;27.1;5.1;5.1;3.9
Rhode Island;1,055,607;29;27;10;5.8;2.7;2.6;0.9
South Carolina;4,894,834;399;394;312;44.4;8.2;8.0;6.4
South Dakota;857,919;32;27;12;35.0;3.7;3.1;1.4
Tennessee;6,595,056;406;402;297;39.4;6.2;6.1;4.5
Texas;27,429,639;1,316;1,276;906;35.7;4.8;4.7;3.3
Utah;2,990,632;54;54;34;31.9;1.8;1.8;1.1
Vermont;626,088;10;10;8;28.8;1.6;1.6;1.3
Virginia;8,367,587;383;383;275;29.3;4.6;4.6;3.3
Washington;7,160,290;211;209;141;27.7;2.9;2.9;2.0
West Virginia;1,841,053;70;57;30;54.2;3.8;3.1;1.6
Wisconsin;5,767,891;240;238;170;34.7;4.2;4.1;2.9
Wyoming;586,107;16;16;10;53.8;2.56;2.7;1.7
	;;;;;;;;
^ ;;;;;;;;
Jump up to: ;;;;;;;;
" ";;;;;;;;
a;;;;;;;;
 ;;;;;;;;
b;;;;;;;;
 ;;;;;;;;
c;;;;;;;;
 ;;;;;;;;
d;;;;;;;;
